No,フラグ,日時,競馬場,開催日,人気合計,フラグ,レース,1着人気,2着人気,レース,1着人気,2着人気,レース,1着人気,2着人気,キャリーオーバー発声中,的中口数,的中金額,キャリーオーバー,推定1着オッズ_R1,推定2着オッズ_R1,推定1着オッズ_R2,推定2着オッズ_R2,推定1着オッズ_R3,推定2着オッズ_R3,推定1番人気オッズ_R1,推定1番人気オッズ_R2,推定1番人気オッズ_R3
150,,8月10日(日),大井,第7回1日目,14,1,6R,2,3,7R,1,3,8R,3,2,,,"182,035",,4.4,7.2,2.5,7.2,7.2,4.4,2.0,2.0,2.0
151,,8月8日(金),川崎,第5回5日目,16,1,10R,2,4,11R,3,1,12R,4,2,,,"3,051,930",,4.0,9.5,6.5,2.3,9.5,4.0,2.1,2.1,2.1
152,,8月7日(木),川崎,第5回4日目,12,3,10R,1,2,11R,1,5,12R,1,2,,,"43,675",,2.3,4.0,2.3,13.0,2.3,4.0,1.5,1.5,1.5
153,,8月7日(木),門別,第9回3日目,13,3,10R,2,1,11R,1,5,12R,1,3,,,"59,870",,3.4,2.0,2.0,11.0,2.0,5.5,1.5,1.5,1.5
154,,8月6日(水),川崎,第5回3日目,16,2,10R,4,1,11R,5,2,12R,1,3,,,"452,750",,9.5,2.3,13.0,4.0,2.3,6.5,2.1,2.1,2.1
155,,8月6日(水),門別,第9回2日目,19,2,10R,4,5,11R,1,6,12R,1,2,,,"1,247,180",,8.1,11.0,2.0,15.3,2.0,3.4,2.0,2.0,2.0
156,,8月5日(火),川崎,第5回2日目,22,2,10R,1,2,11R,1,7,12R,5,6,,,"222,555",,2.3,4.0,2.3,25.0,13.0,18.0,2.7,2.7,2.7
157,,8月5日(火),門別,第9回1日目,12,3,10R,2,1,11R,3,1,12R,1,4,,,"47,435",,3.4,2.0,5.5,2.0,2.0,8.1,1.3,1.3,1.3
158,,8月4日(月),川崎,第5回1日目,23,1,10R,7,3,11R,1,4,12R,2,6,1,,"56,363,510",,25.0,6.5,2.3,9.5,4.0,18.0,2.7,2.7,2.7
159,,8月1日(金),船橋,第5回5日目,23,2,10R,2,9,11R,1,3,12R,1,7,,,"854,580",,4.0,50.0,2.3,6.5,2.3,25.0,2.7,2.7,2.7
160,,7月31日(木),船橋,第5回4日目,17,2,10R,2,7,11R,1,2,12R,1,4,,,"217,300",,4.0,25.0,2.3,4.0,2.3,9.5,2.1,2.1,2.1
161,,7月31日(木),門別,第8回6日目,16,1,10R,2,6,11R,2,3,12R,1,2,,,"169,830",,3.4,15.3,3.4,5.5,2.0,3.4,1.8,1.8,1.8
15,,12月15日(月),川崎,第10回1日目,22,2,10R,1,3,11R,4,3,12R,1,10,,,"1,116,635",,2.3,6.5,9.5,6.5,2.3,70.0,2.7,2.7,2.7
163,,7月29日(火),船橋,第5回2日目,14,3,10R,1,4,11R,1,3,12R,1,4,,,"57,820",,2.3,9.5,2.3,6.5,2.3,9.5,1.8,1.8,1.8
164,,7月29日(火),門別,第8回4日目,15,2,10R,3,6,11R,2,1,12R,2,1,,,"925,220",,5.5,15.3,3.4,2.0,3.4,2.0,1.5,1.5,1.5
165,,7月28日(月),船橋,第5回1日目,18,2,10R,3,1,11R,7,1,12R,2,4,,,"2,392,970",,6.5,2.3,25.0,2.3,4.0,9.5,2.1,2.1,2.1
166,,7月25日(金),浦和,第4回5日目,20,2,10R,6,7,11R,1,2,12R,1,3,,,"1,336,220",,16.2,22.5,2.1,3.6,2.1,5.9,2.2,2.2,2.2
167,,7月24日(木),浦和,第4回4日目,19,2,10R,2,8,11R,2,1,12R,5,1,,,"4,147,450",,3.6,31.5,3.6,2.1,11.7,2.1,2.2,2.2,2.2
168,,7月24日(木),門別,第8回3日目,11,3,10R,1,2,11R,1,2,12R,1,4,,,"29,620",,2.0,3.4,2.0,3.4,2.0,8.1,1.3,1.3,1.3
169,,7月23日(水),浦和,第4回3日目,20,1,10R,4,7,11R,3,1,12R,3,2,,,"7,476,000",,8.6,22.5,5.9,2.1,5.9,3.6,2.2,2.2,2.2
170,,7月23日(水),門別,第8回2日目,12,3,10R,1,2,11R,1,3,12R,1,4,1,,"27,915",,2.0,3.4,2.0,5.5,2.0,8.1,1.3,1.3,1.3
82,1,10月6日(月),大井,第10回2日目,14,2,8R,1,3,9R,3,2,10R,4,1,,,"180,470",,2.5,7.2,7.2,4.4,10.5,2.5,2.0,2.0,2.0
172,,7月22日(火),門別,第8回1日目,18,1,10R,3,2,11R,4,6,12R,1,2,,,,"6,773,802",5.5,3.4,8.1,15.3,2.0,3.4,1.8,1.8,1.8
173,,7月21日(月),浦和,第4回1日目,18,2,10R,2,1,11R,2,7,12R,1,5,,,"1,433,285",,3.6,2.1,3.6,22.5,2.1,11.7,1.9,1.9,1.9
174,,7月18日(金),大井,第6回5日目,18,3,10R,1,7,11R,4,1,12R,1,4,,,"1,027,350",,2.5,27.5,10.5,2.5,2.5,10.5,2.3,2.3,2.3
175,,7月17日(木),大井,第6回4日目,12,3,10R,2,1,11R,3,1,12R,1,4,1,,"127,445",,4.4,2.5,7.2,2.5,2.5,10.5,1.7,1.7,1.7
305,6,3月12日(水),大井,第18回3日目,19,2,10R,3,5,11R,1,2,12R,1,7,,,"180,645",,7.2,14.3,2.5,4.4,2.5,27.5,2.6,2.6,2.6
177,,7月16日(水),大井,第6回3日目,25,2,10R,1,4,11R,7,3,12R,9,1,,,,"15,325,058",2.5,10.5,27.5,7.2,55.0,2.5,3.3,3.3,3.3
178,,7月16日(水),門別,第7回5日目,16,3,10R,1,4,11R,1,5,12R,1,4,,,"136,590",,2.0,8.1,2.0,11.0,2.0,8.1,1.8,1.8,1.8
58,3,10月27日(月),浦和,第7回1日目,14,3,10R,1,2,11R,1,3,12R,1,6,,,"198,470",,2.1,3.6,2.1,5.9,2.1,16.2,1.6,1.6,1.6
180,,7月15日(火),門別,第7回4日目,19,2,10R,1,5,11R,3,5,12R,1,4,,,"92,870",,2.0,11.0,5.5,11.0,2.0,8.1,2.0,2.0,2.0
181,,7月14日(月),大井,第6回1日目,18,2,10R,2,1,11R,4,3,12R,1,7,,,"2,739,555",,4.4,2.5,10.5,7.2,2.5,27.5,2.3,2.3,2.3
224,3,6月9日(月),大井,第4回1日目,15,3,10R,1,3,11R,1,3,12R,1,6,,,"290,855",,2.5,7.2,2.5,7.2,2.5,19.8,2.0,2.0,2.0
183,,7月10日(木),門別,第7回3日目,11,2,10R,3,2,11R,2,1,12R,1,2,,,"81,165",,5.5,3.4,3.4,2.0,2.0,3.4,1.3,1.3,1.3
184,,7月9日(水),川崎,第4回3日目,14,2,10R,1,3,11R,2,5,12R,2,1,1,,"954,610",,2.3,6.5,4.0,13.0,4.0,2.3,1.8,1.8,1.8
185,,7月9日(水),門別,第7回2日目,20,1,10R,5,4,11R,3,1,12R,3,4,,,"3,831,560",,11.0,8.1,5.5,2.0,5.5,8.1,2.0,2.0,2.0
186,,7月8日(火),川崎,第4回2日目,27,0,10R,4,2,11R,2,4,12R,4,11,,,,"9,437,043",9.5,4.0,4.0,9.5,9.5,95.0,3.0,3.0,3.0
187,,7月8日(火),門別,第7回1日目,25,1,10R,1,4,11R,2,5,12R,6,7,,,"2,485,090",,2.0,8.1,3.4,11.0,15.3,21.2,2.5,2.5,2.5
188,,7月7日(月),川崎,第4回1日目,23,2,10R,1,3,11R,8,3,12R,1,7,,,"6,490,655",,2.3,6.5,35.0,6.5,2.3,25.0,2.7,2.7,2.7
189,,7月6日(日),船橋,第4回5日目,13,2,10R,4,2,11R,1,3,12R,1,2,,,"29,850",,9.5,4.0,2.3,6.5,2.3,4.0,1.8,1.8,1.8
83,6,10月5日(日),大井,第10回1日目,20,2,6R,3,5,7R,2,1,8R,1,8,,,"303,050",,7.2,14.3,4.4,2.5,2.5,38.5,2.6,2.6,2.6
138,,8月19日(火),門別,第10回1日目,15,1,10R,1,2,11R,3,4,12R,2,3,,,"206,950",,2.0,3.4,5.5,8.1,3.4,5.5,1.5,1.5,1.5
192,,7月4日(金),大井,第5回5日目,14,3,10R,5,1,11R,1,2,12R,1,4,,,"200,445",,14.3,2.5,2.5,4.4,2.5,10.5,2.0,2.0,2.0
193,,7月3日(木),船橋,第4回2日目,12,2,10R,2,1,11R,3,1,12R,2,3,,,"112,930",,4.0,2.3,6.5,2.3,4.0,6.5,1.5,1.5,1.5
179,4,7月15日(火),大井,第6回2日目,18,2,10R,1,8,11R,1,3,12R,2,3,,,"337,535",,2.5,38.5,2.5,7.2,4.4,7.2,2.3,2.3,2.3
195,,7月3日(木),門別,第6回6日目,15,2,10R,3,1,11R,5,3,12R,2,1,,,"573,765",,5.5,2.0,11.0,5.5,3.4,2.0,1.5,1.5,1.5
196,,7月2日(水),大井,第5回3日目,11,3,10R,1,2,11R,1,4,12R,1,2,1,,"28,920",,2.5,4.4,2.5,10.5,2.5,4.4,1.7,1.7,1.7
268,,4月25日(金),浦和,第1回5日目,20,1,10R,1,7,11R,4,2,12R,2,4,,,"896,775",,2.1,22.5,8.6,3.6,3.6,8.6,2.2,2.2,2.2
198,,7月1日(火),大井,第5回2日目,23,2,10R,10,1,11R,2,1,12R,7,2,,,,"8,424,206",77.0,2.5,4.4,2.5,27.5,4.4,3.0,3.0,3.0
302,,3月13日(木),船橋,第13回4日目,21,1,10R,1,6,11R,2,3,12R,2,7,,,"308,855",,2.3,18.0,4.0,6.5,4.0,25.0,2.4,2.4,2.4
325,6,2月14日(金),船橋,第12回5日目,17,1,10R,2,3,11R,1,3,12R,2,6,1,,"728,615",,4.0,6.5,2.3,6.5,4.0,18.0,2.1,2.1,2.1
201,,6月30日(月),大井,第5回1日目,22,2,10R,5,1,11R,2,1,12R,3,10,,,"10,045,815",,14.3,2.5,4.4,2.5,7.2,77.0,3.0,3.0,3.0
202,,6月27日(金),浦和,第3回5日目,15,3,10R,1,3,11R,1,5,12R,1,4,,,"92,465",,2.1,5.9,2.1,11.7,2.1,8.6,1.6,1.6,1.6
72,,10月14日(火),川崎,第8回2日目,16,1,10R,1,3,11R,4,3,12R,3,2,,,,"8,976,513",2.3,6.5,9.5,6.5,6.5,4.0,2.1,2.1,2.1
204,,6月26日(木),門別,第6回3日目,14,3,10R,3,1,11R,1,3,12R,1,5,,,"72,900",,5.5,2.0,2.0,5.5,2.0,11.0,1.5,1.5,1.5
205,,6月25日(水),浦和,第3回3日目,20,3,10R,8,1,11R,1,7,12R,2,1,,,,"13,108,466",31.5,2.1,2.1,22.5,3.6,2.1,2.2,2.2,2.2
206,,6月25日(水),門別,第6回2日目,19,1,10R,2,7,11R,4,2,12R,1,3,,,"2,994,425",,3.4,21.2,8.1,3.4,2.0,5.5,2.0,2.0,2.0
207,,6月24日(火),浦和,第3回2日目,24,0,10R,3,4,11R,4,5,12R,2,6,,,"2,069,240",,5.9,8.6,8.6,11.7,3.6,16.2,2.4,2.4,2.4
208,,6月24日(火),門別,第6回1日目,15,2,10R,4,1,11R,2,3,12R,1,4,,,"216,905",,8.1,2.0,3.4,5.5,2.0,8.1,1.5,1.5,1.5
209,,6月23日(月),浦和,第3回1日目,10,3,10R,1,3,11R,2,1,12R,2,1,,,"360,750",,2.1,5.9,3.6,2.1,3.6,2.1,1.4,1.4,1.4
210,,6月20日(金),川崎,第3回5日目,19,2,10R,3,4,11R,1,4,12R,6,1,,,"1,772,115",,6.5,9.5,2.3,9.5,18.0,2.3,2.4,2.4,2.4
211,,6月19日(木),川崎,第3回4日目,13,1,10R,2,3,11R,1,2,12R,2,3,,,"81,485",,4.0,6.5,2.3,4.0,4.0,6.5,1.8,1.8,1.8
212,,6月19日(木),門別,第5回5日目,15,2,10R,4,1,11R,3,4,12R,1,2,,,"102,815",,8.1,2.0,5.5,8.1,2.0,3.4,1.5,1.5,1.5
213,,6月18日(水),川崎,第3回3日目,24,3,10R,1,4,11R,1,7,12R,1,10,,,"563,310",,2.3,9.5,2.3,25.0,2.3,70.0,2.7,2.7,2.7
214,,6月18日(水),門別,第5回4日目,16,2,10R,3,5,11R,4,1,12R,2,1,,,"4,498,665",,5.5,11.0,8.1,2.0,3.4,2.0,1.8,1.8,1.8
127,6,8月27日(水),船橋,第6回1日目,19,1,10R,3,5,11R,2,1,12R,2,6,,,"868,760",,6.5,13.0,4.0,2.3,4.0,18.0,2.4,2.4,2.4
216,,6月16日(月),川崎,第3回1日目,23,2,10R,12,4,11R,3,1,12R,1,2,,,,"9,988,685",130.0,9.5,6.5,2.3,2.3,4.0,2.7,2.7,2.7
217,,6月13日(金),大井,第4回5日目,13,2,10R,1,2,11R,2,5,12R,2,1,,,"174,715",,2.5,4.4,4.4,14.3,4.4,2.5,2.0,2.0,2.0
215,3,6月17日(火),川崎,第3回2日目,21,3,10R,1,2,11R,1,5,12R,1,11,1,,"917,850",,2.3,4.0,2.3,13.0,2.3,95.0,2.4,2.4,2.4
219,2,6月12日(木),門別,第5回3日目,12,3,10R,1,2,11R,2,1,12R,1,5,,,"26,055",,2.0,3.4,3.4,2.0,2.0,11.0,1.3,1.3,1.3
292,4,3月27日(木),大井,第19回4日目,17,2,10R,1,2,11R,1,6,12R,2,5,,,"1,053,165",,2.5,4.4,2.5,19.8,4.4,14.3,2.3,2.3,2.3
221,,6月11日(水),門別,第5回2日目,15,3,10R,1,7,11R,2,1,12R,3,1,,,"250,440",,2.0,21.2,3.4,2.0,5.5,2.0,1.5,1.5,1.5
222,,6月10日(火),大井,第4回2日目,21,1,10R,1,5,11R,7,3,12R,2,3,,,,"12,700,226",2.5,14.3,27.5,7.2,4.4,7.2,2.6,2.6,2.6
223,,6月10日(火),門別,第5回1日目,11,3,10R,1,2,11R,1,2,12R,4,1,,,"50,375",,2.0,3.4,2.0,3.4,8.1,2.0,1.3,1.3,1.3
162,1,7月30日(水),船橋,第5回3日目,15,2,10R,1,6,11R,3,2,12R,2,1,,,"1,074,555",,2.3,18.0,6.5,4.0,4.0,2.3,1.8,1.8,1.8
225,,6月6日(金),船橋,第3回5日目,12,2,10R,3,1,11R,2,1,12R,2,3,1,,"156,435",,6.5,2.3,4.0,2.3,4.0,6.5,1.5,1.5,1.5
226,,6月5日(木),船橋,第3回4日目,27,1,10R,3,4,11R,3,1,12R,3,13,,,,"9,827,237",6.5,9.5,6.5,2.3,6.5,170.0,3.0,3.0,3.0
227,,6月5日(木),門別,第4回5日目,17,2,10R,5,4,11R,1,4,12R,1,2,,,"142,165",,11.0,8.1,2.0,8.1,2.0,3.4,1.8,1.8,1.8
228,,6月4日(水),船橋,第3回3日目,26,2,10R,1,2,11R,1,3,12R,7,12,,,"2,833,035",,2.3,4.0,2.3,6.5,25.0,130.0,3.0,3.0,3.0
229,,6月4日(水),門別,第4回4日目,9,3,10R,1,2,11R,2,1,12R,2,1,,,"30,035",,2.0,3.4,3.4,2.0,3.4,2.0,1.3,1.3,1.3
296,2,3月21日(金),浦和,第12回5日目,15,3,10R,1,2,11R,2,1,12R,1,8,,,"1,470,430",,2.1,3.6,3.6,2.1,2.1,31.5,1.6,1.6,1.6
231,,6月2日(月),船橋,第3回1日目,21,2,10R,4,8,11R,2,1,12R,5,1,,,"5,710,060",,9.5,35.0,4.0,2.3,13.0,2.3,2.4,2.4,2.4
232,,5月30日(金),浦和,第2回5日目,19,2,10R,3,1,11R,3,6,12R,5,1,,,"2,703,170",,5.9,2.1,5.9,16.2,11.7,2.1,2.2,2.2,2.2
233,,5月29日(木),浦和,第2回4日目,15,2,10R,5,4,11R,2,1,12R,2,1,1,,"1,335,845",,11.7,8.6,3.6,2.1,3.6,2.1,1.6,1.6,1.6
234,,5月29日(木),門別,第4回3日目,21,1,10R,3,5,11R,1,5,12R,4,3,,,"5,320,600",,5.5,11.0,2.0,11.0,8.1,5.5,2.0,2.0,2.0
235,,5月28日(水),浦和,第2回3日目,27,0,10R,4,6,11R,5,7,12R,2,3,1,,,"43,072,260",8.6,16.2,11.7,22.5,3.6,5.9,2.7,2.7,2.7
236,,5月28日(水),門別,第4回2日目,10,3,9R,1,2,10R,1,3,11R,1,2,,,"9,370",,2.0,3.4,2.0,5.5,2.0,3.4,1.3,1.3,1.3
237,,5月27日(火),浦和,第2回2日目,28,1,10R,8,3,11R,4,6,12R,6,1,,,,"8,176,805",31.5,5.9,8.6,16.2,16.2,2.1,2.7,2.7,2.7
238,4,5月27日(火),門別,第4回1日目,13,2,10R,1,4,11R,1,2,12R,2,3,,,"30,570",,2.0,8.1,2.0,3.4,3.4,5.5,1.5,1.5,1.5
239,,5月26日(月),浦和,第2回1日目,16,2,10R,2,1,11R,2,8,12R,2,1,,,"4,624,175",,3.6,2.1,3.6,31.5,3.6,2.1,1.9,1.9,1.9
240,,5月23日(金),大井,第3回5日目,16,2,10R,5,2,11R,1,4,12R,3,1,,,"2,505,335",,14.3,4.4,2.5,10.5,7.2,2.5,2.3,2.3,2.3
241,,5月22日(木),大井,第3回4日目,18,2,10R,1,3,11R,3,7,12R,1,3,,,"1,371,985",,2.5,7.2,7.2,27.5,2.5,7.2,2.3,2.3,2.3
242,,5月22日(木),門別,第3回4日目,15,3,10R,1,2,11R,5,1,12R,1,5,,,"210,575",,2.0,3.4,11.0,2.0,2.0,11.0,1.5,1.5,1.5
243,,5月21日(水),大井,第3回3日目,13,2,10R,4,2,11R,3,1,12R,1,2,,,"881,555",,10.5,4.4,7.2,2.5,2.5,4.4,2.0,2.0,2.0
244,4,5月21日(水),門別,第3回3日目,15,2,10R,1,5,11R,1,3,12R,3,2,,,"337,505",,2.0,11.0,2.0,5.5,5.5,3.4,1.5,1.5,1.5
245,,5月20日(火),大井,第3回2日目,14,2,10R,2,1,11R,5,1,12R,2,3,,,"468,185",,4.4,2.5,14.3,2.5,4.4,7.2,2.0,2.0,2.0
246,,5月19日(月),大井,第3回1日目,17,3,10R,1,2,11R,1,9,12R,3,1,,,"11,212,045",,2.5,4.4,2.5,55.0,7.2,2.5,2.3,2.3,2.3
247,,5月16日(金),川崎,第2回5日目,19,1,10R,4,5,11R,4,3,12R,2,1,,,"12,205,455",,9.5,13.0,9.5,6.5,4.0,2.3,2.4,2.4,2.4
248,,5月15日(木),川崎,第2回4日目,13,3,10R,4,1,11R,4,1,12R,2,1,,,"668,040",,9.5,2.3,9.5,2.3,4.0,2.3,1.8,1.8,1.8
249,,5月15日(木),門別,第3回2日目,17,2,10R,5,3,11R,1,3,12R,1,4,1,,"1,766,780",,11.0,5.5,2.0,5.5,2.0,8.1,1.8,1.8,1.8
250,,5月14日(水),川崎,第2回3日目,18,2,10R,2,6,11R,2,1,12R,6,1,,,"7,405,490",,4.0,18.0,4.0,2.3,18.0,2.3,2.1,2.1,2.1
251,,5月14日(水),門別,第3回1日目,27,2,10R,4,5,11R,1,7,12R,1,9,,,,"4,163,957",8.1,11.0,2.0,21.2,2.0,42.5,2.5,2.5,2.5
252,,5月13日(火),川崎,第2回2日目,21,1,10R,4,5,11R,1,3,12R,5,3,,,"1,042,140",,9.5,13.0,2.3,6.5,13.0,6.5,2.4,2.4,2.4
220,4,6月11日(水),大井,第4回3日目,19,2,10R,1,6,11R,1,2,12R,5,4,1,,"1,676,885",,2.5,19.8,2.5,4.4,14.3,10.5,2.6,2.6,2.6
254,,5月9日(金),船橋,第2回5日目,19,2,10R,1,5,11R,3,6,12R,1,3,,,"913,825",,2.3,13.0,6.5,18.0,2.3,6.5,2.4,2.4,2.4
255,,5月8日(木),船橋,第2回4日目,21,2,10R,3,1,11R,3,5,12R,1,8,,,"4,382,800",,6.5,2.3,6.5,13.0,2.3,35.0,2.4,2.4,2.4
256,,5月8日(木),門別,第2回4日目,11,3,10R,1,2,11R,1,3,12R,1,3,1,,"21,305",,2.0,3.4,2.0,5.5,2.0,5.5,1.3,1.3,1.3
257,,5月7日(水),船橋,第2回3日目,15,1,10R,1,4,11R,3,2,12R,3,2,,,"463,335",,2.3,9.5,6.5,4.0,6.5,4.0,1.8,1.8,1.8
258,,5月7日(水),門別,第2回3日目,24,2,10R,8,4,11R,1,7,12R,1,3,,,,"5,232,108",29.8,8.1,2.0,21.2,2.0,5.5,2.3,2.3,2.3
259,,5月6日(火),船橋,第2回2日目,29,1,10R,1,7,11R,9,6,12R,2,4,,,"17,784,165",,2.3,25.0,50.0,18.0,4.0,9.5,3.0,3.0,3.0
260,,5月5日(月),船橋,第2回1日目,26,1,10R,1,2,11R,2,5,12R,4,12,,,"6,533,935",,2.3,4.0,4.0,13.0,9.5,130.0,3.0,3.0,3.0
261,,5月2日(金),大井,第2回5日目,29,1,10R,3,5,11R,1,8,12R,7,5,,,"15,194,955",,7.2,14.3,2.5,38.5,27.5,14.3,3.3,3.3,3.3
191,,7月4日(金),船橋,第4回3日目,24,1,10R,1,5,11R,2,4,12R,3,9,,,"578,085",,2.3,13.0,4.0,9.5,6.5,50.0,2.7,2.7,2.7
263,,5月1日(木),門別,第2回2日目,14,3,10R,7,1,11R,1,2,12R,1,2,,,"82,425",,21.2,2.0,2.0,3.4,2.0,3.4,1.5,1.5,1.5
264,,4月30日(水),大井,第2回3日目,29,1,10R,5,4,11R,4,13,12R,1,2,,,,"14,256,046",14.3,10.5,10.5,187.0,2.5,4.4,3.3,3.3,3.3
265,3,4月30日(水),門別,第2回1日目,12,3,9R,1,2,10R,1,2,11R,1,5,,,"15,245",,2.0,3.4,2.0,3.4,2.0,11.0,1.3,1.3,1.3
266,,4月29日(火),大井,第2回2日目,18,1,10R,3,4,11R,1,4,12R,2,4,,,"382,805",,7.2,10.5,2.5,10.5,4.4,10.5,2.3,2.3,2.3
267,,4月28日(月),大井,第2回1日目,23,1,10R,5,3,11R,8,4,12R,2,1,,,"14,440,870",,14.3,7.2,38.5,10.5,4.4,2.5,3.0,3.0,3.0
26,5,11月28日(金),浦和,第8回4日目,20,1,10R,2,5,11R,2,3,12R,1,7,,,"1,871,680",,3.6,11.7,3.6,5.9,2.1,22.5,2.2,2.2,2.2
269,,4月24日(木),浦和,第1回4日目,21,2,10R,1,2,11R,1,10,12R,2,5,,,"7,449,140",,2.1,3.6,2.1,63.0,3.6,11.7,2.2,2.2,2.2
270,,4月24日(木),門別,第1回4日目,15,2,10R,2,1,11R,6,1,12R,2,3,1,,"3,343,995",,3.4,2.0,15.3,2.0,3.4,5.5,1.5,1.5,1.5
271,,4月23日(水),浦和,第1回3日目,14,2,10R,2,1,11R,1,3,12R,3,4,,,"161,125",,3.6,2.1,2.1,5.9,5.9,8.6,1.6,1.6,1.6
272,,4月23日(水),門別,第1回3日目,23,2,10R,4,11,11R,3,1,12R,3,1,,,,"8,265,726",8.1,80.8,5.5,2.0,5.5,2.0,2.3,2.3,2.3
273,,4月22日(火),浦和,第1回2日目,12,2,10R,4,2,11R,1,2,12R,1,2,1,,"205,785",,8.6,3.6,2.1,3.6,2.1,3.6,1.4,1.4,1.4
274,,4月21日(月),浦和,第1回1日目,35,0,10R,5,9,11R,5,6,12R,3,7,,,,"6,889,491",11.7,45.0,11.7,16.2,5.9,22.5,3.1,3.1,3.1
275,,4月18日(金),大井,第1回5日目,24,3,10R,1,7,11R,1,3,12R,11,1,,,"15,993,990",,2.5,27.5,2.5,7.2,104.5,2.5,3.0,3.0,3.0
276,,4月17日(木),大井,第1回4日目,17,2,10R,1,2,11R,1,5,12R,6,2,,,"2,247,875",,2.5,4.4,2.5,14.3,19.8,4.4,2.3,2.3,2.3
197,,7月2日(水),門別,第6回5日目,19,1,10R,1,7,11R,2,3,12R,4,2,,,"96,400",,2.0,21.2,3.4,5.5,8.1,3.4,2.0,2.0,2.0
278,,4月16日(水),大井,第1回3日目,12,2,10R,2,1,11R,4,2,12R,1,2,,,"179,635",,4.4,2.5,10.5,4.4,2.5,4.4,1.7,1.7,1.7
279,,4月16日(水),門別,第1回1日目,17,1,10R,2,6,11R,2,3,12R,1,3,,,"410,080",,3.4,15.3,3.4,5.5,2.0,5.5,1.8,1.8,1.8
101,6,9月18日(木),大井,第9回4日目,18,2,10R,2,6,11R,2,1,12R,1,6,1,,"1,874,315",,4.4,19.8,4.4,2.5,2.5,19.8,2.3,2.3,2.3
281,,4月14日(月),大井,第1回1日目,32,1,10R,1,2,11R,10,8,12R,5,6,,,,"14,928,333",2.5,4.4,77.0,38.5,14.3,19.8,3.9,3.9,3.9
282,,4月10日(木),川崎,第1回4日目,21,2,10R,1,2,11R,1,2,12R,4,11,,,,"12,754,406",2.3,4.0,2.3,4.0,9.5,95.0,2.4,2.4,2.4
283,,4月9日(水),川崎,第1回3日目,22,1,10R,3,1,11R,3,6,12R,6,3,1,,"45,191,915",,6.5,2.3,6.5,18.0,18.0,6.5,2.7,2.7,2.7
284,,4月8日(火),川崎,第1回2日目,32,1,10R,1,6,11R,7,4,12R,3,11,1,,,"57,646,904",2.3,18.0,25.0,9.5,6.5,95.0,3.5,3.5,3.5
285,,4月7日(月),川崎,第1回1日目,24,2,10R,1,2,11R,6,10,12R,4,1,,,,"14,575,218",2.3,4.0,18.0,70.0,9.5,2.3,2.7,2.7,2.7
286,,4月4日(金),船橋,第1回4日目,22,1,10R,7,1,11R,3,6,12R,3,2,1,,"15,628,975",,25.0,2.3,6.5,18.0,6.5,4.0,2.7,2.7,2.7
287,,4月3日(木),船橋,第1回3日目,34,1,10R,5,9,11R,2,1,12R,7,10,,,,"12,823,167",13.0,50.0,4.0,2.3,25.0,70.0,3.5,3.5,3.5
288,,4月2日(水),船橋,第1回2日目,13,3,10R,1,3,11R,1,5,12R,2,1,,,"25,510",,2.3,6.5,2.3,13.0,4.0,2.3,1.8,1.8,1.8
289,,4月1日(火),船橋,第1回1日目,13,2,10R,2,3,11R,1,4,12R,1,2,,,"44,480",,4.0,6.5,2.3,9.5,2.3,4.0,1.8,1.8,1.8
290,,3月31日(月),船橋,第14回1日目,18,2,10R,4,6,11R,3,1,12R,1,3,1,,"11,583,805",,9.5,18.0,6.5,2.3,2.3,6.5,2.1,2.1,2.1
291,,3月28日(金),大井,第19回5日目,18,2,10R,2,4,11R,8,1,12R,2,1,,,"1,261,085",,4.4,10.5,38.5,2.5,4.4,2.5,2.3,2.3,2.3
293,3,3月26日(水),大井,第19回3日目,22,3,10R,1,8,11R,1,6,12R,1,5,1,,"2,334,505",,2.5,38.5,2.5,19.8,2.5,14.3,3.0,3.0,3.0
218,6,6月12日(木),大井,第4回4日目,17,1,10R,2,3,11R,3,1,12R,2,6,,,"2,704,355",,4.4,7.2,7.2,2.5,4.4,19.8,2.3,2.3,2.3
294,,3月25日(火),大井,第19回2日目,43,1,10R,9,7,11R,1,5,12R,8,13,,,,"15,242,269",55.0,27.5,2.5,14.3,38.5,187.0,3.9,3.9,3.9
295,,3月24日(月),大井,第19回1日目,15,2,10R,1,3,11R,3,1,12R,3,4,,,"199,635",,2.5,7.2,7.2,2.5,7.2,10.5,2.0,2.0,2.0
143,6,8月14日(木),大井,第7回5日目,18,1,10R,2,4,11R,1,3,12R,2,6,,,"2,818,515",,4.4,10.5,2.5,7.2,4.4,19.8,2.3,2.3,2.3
297,,3月20日(木),浦和,第12回4日目,11,3,10R,2,1,11R,1,3,12R,1,3,1,,"57,190",,3.6,2.1,2.1,5.9,2.1,5.9,1.4,1.4,1.4
298,,3月18日(火),浦和,第12回2日目,32,0,10R,3,5,11R,3,6,12R,12,3,1,,,"35,482,643",5.9,11.7,5.9,16.2,117.0,5.9,3.1,3.1,3.1
299,,3月17日(月),浦和,第12回1日目,25,2,10R,8,5,11R,6,1,12R,1,4,,,,"8,154,678",31.5,11.7,16.2,2.1,2.1,8.6,2.7,2.7,2.7
300,,3月14日(金),船橋,第13回5日目,24,0,10R,4,9,11R,4,2,12R,2,3,,,,"9,289,329",9.5,50.0,9.5,4.0,4.0,6.5,2.7,2.7,2.7
