ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON
76,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
77,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
78,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
79,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
80,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
81,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""詐欺注意"", ""怪しいAI投資広告を高橋が止める""], [""ミナミ"", ""保証された高リターンは危険信号""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
82,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""詐欺注意の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
83,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""詐欺注意の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
84,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""詐欺注意の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
85,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
86,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
87,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
88,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
89,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
90,4コマ基本,日本のビジネスマンガ調。テーマ=詐欺注意。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
91,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""結論"", ""ミナミが投資メモを書き、少額から検証する""], [""ミナミ"", ""熱狂ではなくルールで参加する""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
92,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""結論の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
93,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""結論の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
94,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""結論の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
95,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
96,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
97,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
98,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
99,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
100,4コマ基本,日本のビジネスマンガ調。テーマ=結論。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
