ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
37,テンプレ2,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ2: 右側はキャラクターのアップ、左側は背景や状況描写。
◆【作画】歴史漫画向け、藤島の戦い、灯明寺畷の泥濘で矢を受けて膝をつく義貞、眉間に矢が刺さった壮絶な姿、雨に煙る戦場、フルカラー
◆【ストーリー】
1コマ目 (右): ヨウイチが最期を悟った義貞は自ら首を刎ねて果てた。...と話している。オノマトペ「スッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ヨウイチ「最期を悟った義貞は自ら首を刎ねて果てた。」 [通常の吹き出し]
2コマ目 (左): ヨウイチが享年38。...と話している。オノマトペ「スッ」。背景は研究室の窓から差し込む柔らかい光。 + ヨウイチ「享年38。」 [通常の吹き出し]
1|ヨウイチ|N|最期を悟った義貞は自ら首を刎ねて果てた。
2|ヨウイチ|N|享年38。"
38,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、藤島の戦いの後、雨上がりの静寂、泥にまみれた戦場に残された鎧と太刀、哀しみと静けさ、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが壮絶な最期ですね。...と話している。オノマトペ「ジーッ」。背景は歴史書が積まれた机、古い文献が見える。 + ミユ「壮絶な最期ですね。」 [通常の吹き出し]
1|ミユ|N|壮絶な最期ですね。"
39,テンプレ5,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ5: 上下2分割、上段と下段でシーンを展開。
◆【作画】歴史漫画向け、鎌倉攻めの栄光と藤島の最期が重なるイメージ、セピアトーンから現代の藤島神社へ移り変わる構図、フルカラー
◆【ストーリー】
1コマ目 (右): ヨウイチが挙兵のとき150騎、最期は50騎。...と話している。オノマトペ「サッ」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ヨウイチ「挙兵のとき150騎、最期は50騎。」 [通常の吹き出し]
2コマ目 (左): ヨウイチがあまりに孤独な結末だった。...と話している。オノマトペ「パッ」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ヨウイチ「あまりに孤独な結末だった。」 [通常の吹き出し]
1|ヨウイチ|N|挙兵のとき150騎、最期は50騎。
2|ヨウイチ|N|あまりに孤独な結末だった。"
40,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉攻めの栄光と藤島の最期が重なるイメージ、セピアトーンから現代の藤島神社へ移り変わる構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユがでも義貞が歴史を変えたことは間違いないですよね。...と話している。オノマトペ「ジーッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ミユ「でも義貞が歴史を変えたことは間違いないですよね。」 [通常の吹き出し]
1|ミユ|N|でも義貞が歴史を変えたことは間違いないですよね。"
41,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉攻めの栄光と藤島の最期が重なるイメージ、セピアトーンから現代の藤島神社へ移り変わる構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがああ。...と話している。オノマトペ「パッ」。背景は研究室の窓から差し込む柔らかい光。 + ヨウイチ「ああ。」 [通常の吹き出し]
1|ヨウイチ|N|ああ。"
42,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉攻めの栄光と藤島の最期が重なるイメージ、セピアトーンから現代の藤島神社へ移り変わる構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが福井の藤島神社に忠義の武将として今も祀られている。...と話している。オノマトペ「スッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「福井の藤島神社に忠義の武将として今も祀られている。」 [通常の吹き出し]
1|ヨウイチ|N|福井の藤島神社に忠義の武将として今も祀られている。"
43,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、現代の藤島神社、木漏れ日が差す静かな境内、義貞の功績を伝える石碑と社殿、穏やかで荘厳な雰囲気、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが勝者は尊氏だった。...と話している。オノマトペ「ジーッ」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ヨウイチ「勝者は尊氏だった。」 [通常の吹き出し]
1|ヨウイチ|N|勝者は尊氏だった。"
44,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、現代の藤島神社、木漏れ日が差す静かな境内、義貞の功績を伝える石碑と社殿、穏やかで荘厳な雰囲気、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがだが忠義を貫いた義貞の生き様は多くの人の心に残った。...と話している。オノマトペ「フッ」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ヨウイチ「だが忠義を貫いた義貞の生き様は多くの人の心に残った。」 [通常の吹き出し]
1|ヨウイチ|N|だが忠義を貫いた義貞の生き様は多くの人の心に残った。"
45,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、現代の藤島神社、木漏れ日が差す静かな境内、義貞の功績を伝える石碑と社殿、穏やかで荘厳な雰囲気、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが勝ち負けだけが人の価値じゃないんですね。...と話している。オノマトペ「スッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ミユ「勝ち負けだけが人の価値じゃないんですね。」 [通常の吹き出し]
1|ミユ|N|勝ち負けだけが人の価値じゃないんですね。"
46,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、夕日が差し込む窓辺、温かみのある雰囲気
◆【ストーリー】
1コマ目 (全体): ミユがいいね、コメント、チャンネル登録、よろしくお願いします！...と話している。オノマトペ「バーン」。背景は研究室の窓から差し込む柔らかい光。 + ミユ「いいね、コメント、チャンネル登録、よろしくお願いします！」 [通常の吹き出し]
1|ミユ|N|いいね、コメント、チャンネル登録、よろしくお願いします！"
47,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、夕日が差し込む窓辺、温かみのある雰囲気
◆【ストーリー】
1コマ目 (全体): ヨウイチがみなさんの応援が次の動画の力になります。...と話している。オノマトペ「スッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「みなさんの応援が次の動画の力になります。」 [通常の吹き出し]
1|ヨウイチ|N|みなさんの応援が次の動画の力になります。"
48,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、夕日が差し込む窓辺、温かみのある雰囲気
◆【ストーリー】
1コマ目 (全体): ヨウイチがまた次回、別の歴史の物語を一緒に探ろう。...と話している。オノマトペ「スッ」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ヨウイチ「また次回、別の歴史の物語を一緒に探ろう。」 [通常の吹き出し]
1|ヨウイチ|N|また次回、別の歴史の物語を一緒に探ろう。"
