"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"64","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): フォロワー300人達成の画面。2コマ目(中段): コメント欄に「いつも参考にしてます」が並んでいる。3コマ目(下段): ミサキが感動している。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""フォロワー300人——常連さんができていた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""「いつも参考にしてます」「おかげで試しました」——""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""知らない誰かの暮らしに言葉が届いていた。""}]"
"65","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ3: 2コマ（上段小・下段大）
◆【ストーリー】
1コマ目(上段小): ミサキが確信した表情。2コマ目(下段大): ミサキが力強くうなずいている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""続けることが正解だった——""}, {""panel_id"": 2, ""type"": ""monologue"", ""speaker"": null, ""text"": ""諦めなくてよかった。ミサキは確信した。""}]"
"66","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキが投稿を続けている。2コマ目(中段): フォロワーがじわじわ増えていく演出。3コマ目(下段): ミサキが達成感を持って作業している。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""フォロワー300人——数字が変わると反応も変わる。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""投稿一本あたりの保存数が増えてきた。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""何かが動き始めていた——ミサキは感じていた。""}]"
"67","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキがひなたに朝ごはんを食べさせている。2コマ目(中段): ひなたが嬉しそうに食べている。3コマ目(下段): スマホから通知音が鳴る演出。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""4週間目のある朝——""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたに朝ごはんを食べさせているとき——""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""銀行アプリから通知音が鳴った。""}]"
"68","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ3: 2コマ（上段小・下段大）
◆【ストーリー】
1コマ目(上段小): ミサキの手が止まる。スプーンを持ったまま。2コマ目(下段大): 銀行アプリの通知画面のアップ。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""スプーンを持ったまま、手が止まった。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""「お振込がありました」——""}]"
"69","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ1: 1コマ
◆【ストーリー】
画面に大きく「1,280円」という数字。ミサキが完全に固まっている。背景は白。集中線。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""振込額：1,280円。""}]"
"70","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキが画面を見て固まっている。2コマ目(中段): 頭の中で金額を反芻している演出。3コマ目(下段): ミサキの手が震えている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""千二百八十円——""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ペットボトルのお茶を8本買えるくらいの金額。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ランチ一回分にも満たない——でも手は震えた。""}]"
"71","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ1: 1コマ
◆【ストーリー】
ミサキが画面を見て涙をこらえている。スプーンがテーブルに落ちている。","[{""panel_id"": 1, ""type"": ""monologue"", ""speaker"": null, ""text"": ""会社以外から——初めて得たお金だ。""}]"
"72","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキが記念すべき瞬間を噛みしめている。2コマ目(中段): 「会社以外から」という言葉が浮かぶ演出。3コマ目(下段): ミサキが涙をこらえている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""誰にも雇われていない——""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""自分で考えて、自分で作って、自分で稼いだ。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""この事実が、全てだった。""}]"
"73","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキがテーブルに突っ伏している。2コマ目(中段): 泣いているミサキ。3コマ目(下段): 名刺をなくしたときの記憶が浮かぶ。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""テーブルに突っ伏して泣いた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""会社を辞めたとき、泣けなかった。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""名刺をなくしたとき、泣けなかった——""}]"
"74","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ1: 1コマ
◆【ストーリー】
ミサキが泣きながら笑っている——涙と笑顔が混ざった表情。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""1,280円で泣いている——でも涙が止まらない。""}]"
"75","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキが泣きながらタクヤにメッセージを送っている。2コマ目(中段): タクヤが嬉しそうにしている。3コマ目(下段): タクヤがエールを送っている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤに報告した。文章を打つ手が震えた。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""おめでとうございます。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""これがスタートラインです。""}]"
"76","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ1: 1コマ
◆【ストーリー】
タクヤが真剣な表情でミサキに語りかけている。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""金額の大小じゃない——「自分で稼いだ」事実が大切です。""}]"
"77","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ3: 2コマ（上段小・下段大）
◆【ストーリー】
1コマ目(上段小): ミサキがその言葉を受け取っている。2コマ目(下段大): ミサキが深くうなずいている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""この言葉が、ミサキの胸に刺さった。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""金額ではなく「自分でやった」という事実——""}]"
"78","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキが思い切って質問している。2コマ目(中段): タクヤが穏やかに答えている。3コマ目(下段): ミサキが驚いている。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""佐々木さんの初めての振込はいくらでしたか？""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""320円でした""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""320円！それより多い——""}]"
"79","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ1: 1コマ
◆【ストーリー】
タクヤが笑っている。ミサキが涙をぬぐいながら笑っている。温かな空気。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""ね。佐藤さんのほうが上です（笑）""}]"
"80","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ3: 2コマ（上段小・下段大）
◆【ストーリー】
1コマ目(上段小): ミサキが嬉しそうな表情。2コマ目(下段大): ミサキの頬がゆるんでいる。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキの頬がゆるんだ——泣きながら笑っていた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""320円——その言葉がミサキを軽くした。""}]"
"81","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): タクヤが続けている。2コマ目(中段): ミサキが決意している。3コマ目(下段): 前を向くミサキ。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""おめでとうございます。でも——""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""これがスタートラインです。ここからが本番。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ここからが本番だ——ミサキは前を向いた。""}]"
