ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
28,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): ミサキがひなたをしっかり抱きしめている全身ショット。柔らかい午後の光に包まれている。温かく優しい色調。 セリフ: なし ナレーション: ［四角枠］この子のために辞めた。この子のそばにいるためにキャリアを手放した。でもそれは、キャリアの「終わり」じゃなかった。新しいキャリアの「始まり」だった オノマトペ: なし"
29,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ4: 上段大→下段小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段大): 夜のリビング。ミサキがパジャマ姿でダイニングテーブルに座り、通帳を開いている。 セリフ: なし ナレーション: ［四角枠］夜。ケンタが帰ってくる前に、通帳を見た オノマトペ: なし
2コマ目 (下段小): 通帳のアップ。数字の羅列の中に、1,280円の入金記録がある。 セリフ: なし ナレーション: ［四角枠］1,280円が増えたところで、家計に影響はない。でも、見え方が違った オノマトペ: なし"
30,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ2: 上下均等2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 回想（暗い色調）。以前のミサキがおびえた表情で通帳を見ている。残高が減っていく矢印。 セリフ: なし ナレーション: ［四角枠］前は「減っていく通帳」だった オノマトペ: なし
2コマ目 (下段): 現在のミサキ（明るい色調）。穏やかな笑みで通帳を見ている。残高が上向く矢印。 セリフ: なし ナレーション: ［四角枠］今は「ここから増やしていく通帳」だった。同じ数字。同じ通帳。変わったのは、ミサキ自身だった オノマトペ: なし"
31,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ7: 上段左右2コマ + 下段1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段右): パソコンに向かうミサキの横顔。真剣に投稿を作成している。 セリフ: なし ナレーション: ［四角枠］投稿を作り続けた日々 オノマトペ: カタカタ
2コマ目 (上段左): スマホで写真を撮るミサキ。育児グッズを丁寧に撮影している。 セリフ: なし ナレーション: ［四角枠］自分の体験を、自分の言葉で伝えた オノマトペ: パシャ
3コマ目 (下段): ミサキがダイニングテーブルの自分の「仕事場」で微笑んでいる。パソコン、マグカップ、ひなたのおもちゃが散らばっている。 セリフ: なし ナレーション: ［四角枠］ダイニングテーブルが、ミサキの新しいオフィスになっていた オノマトペ: なし"
32,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ / ケンタ: グレーのTシャツにネイビーのスウェットパンツ、黒い靴下
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 夜のリビング。ケンタが帰宅し、ミサキが嬉しそうに通帳を見せている。 セリフ: ［ミサキ］の吹き出しに「ケンタ、見て。初めて振り込まれたの」 ナレーション: なし オノマトペ: なし
2コマ目 (下段右): ケンタが通帳を見て驚いた表情。 セリフ: ［ケンタ］の吹き出しに「1,280円……すごいじゃん」 ナレーション: なし オノマトペ: なし
3コマ目 (下段左): ケンタがミサキの頭をポンと撫でている。ミサキが照れくさそうに笑う。 セリフ: ［ケンタ］の吹き出しに「頑張ってたもんな」 ナレーション: なし オノマトペ: ぽんっ"
33,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ3: 上段小→下段大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段小): 夜の窓の外。街の灯りが静かに光っている。 セリフ: なし ナレーション: ［四角枠］夜が更けていく オノマトペ: しーん
2コマ目 (下段大): ミサキがパジャマ姿でパソコンの前に座り、Claudeの画面を開いている。穏やかだが力強い表情。 セリフ: なし ナレーション: ［四角枠］1,280円は終わりじゃない。ここからが始まりだ オノマトペ: カチッ"
34,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): ミサキの横顔のアップ。パソコンの画面の光に照らされ、瞳にClaudeの画面が映り込んでいる。静かだが確かな決意を秘めた表情。 セリフ: なし ナレーション: ［四角枠］第9話「初めての振込通知」おわり オノマトペ: なし"
35,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【コラム原文】
コラム⑨：「雇われる」以外の選択肢

——キャリアコンサルタントの視点から

1,280円。

この金額に、ミサキは泣きました。

キャリアコンサルタントとして多くの方の転機に立ち会ってきましたが、「初めて自分で稼いだ瞬間」ほど感動的な場面はなかなかありません。そしてその金額は、たいてい驚くほど小さい。

でも、その「小さな金額」が持つ意味は、途方もなく大きいのです。

■収入を得る方法は就職だけではない

日本では長い間、「お金を稼ぐ＝どこかに就職する」が常識でした。学校を出て、会社に入り、給料をもらう。それが「まっとうな稼ぎ方」であり、それ以外は「不安定」「怪しい」と見なされる空気がありました。

しかし現実は大きく変わっています。

副業解禁の流れ、フリーランス保護法の整備、クラウドソーシングの普及、SNSマーケティングの民主化——「雇われないで稼ぐ」ための環境は、この数年で劇的に整いました。

そしてAIの登場により、「一人で仕事を完結させる」ハードルが大幅に下がりました。

ミサキは一人で、企画し、文章を書き、デザインを作り、投稿し、分析し、改善した。以前なら、それぞれに専門家が必要な工程です。AIがパートナーになったことで、一人で回せるようになった。"
36,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【コラム原文】
■「会社に頼る」でも「国に頼る」でもない第三の道

ミサキの物語で繰り返し浮かび上がるテーマがあります。

「制度が追いついていない」——保育園問題、育休の構造的欠陥、在宅勤務の未整備。国の制度は変わるべきですが、変わるスピードは遅い。

「会社が対応してくれない」——リモートワーク不可、復帰支援の不足。会社も変わるべきですが、一社員の声で変わることは稀。

では、制度が変わるのを待ち、会社が変わるのを待つしかないのか。

ミサキの答えは「No」でした。

待たない。自分で選択肢を作る。1,280円は、その選択肢の第一歩です。

■副業・フリーランスの現実

ミサキのようにSNSとアフィリエイトで稼ぐ方法は、「すぐに大金が稼げる」ものではありません。1,280円を得るまでに、ミサキは約3ヶ月かけています。時給に換算すると、おそらくコンビニのバイト以下です。

でも、これは「時間を売る」ビジネスではなく、「資産を積み上げる」ビジネスです。ミサキが寝ている間も、過去の投稿は残っています。コンビニのバイトは、働いた時間分しかお金にならない。ミサキの投稿は、作った後もずっと働き続ける。

■自分で選択肢を作る時代

ミサキは特別な人ではありません。変わったのは、「自分にはできない」という思い込みを手放したこと。そしてAIという新しいパートナーと一緒に、小さな一歩を踏み出したこと。

「自分の力で選択肢を作ること。」それが、これからの時代のキャリア戦略です。

ミサキはそれを、1,280円で証明しました。"
37,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 【タイトルページ】夜のリビング。窓ガラスに映るミサキの横顔。自信に満ちた穏やかな微笑み。窓の向こうにマンションの灯りが見える。タイトル「第10話 私のキャリアは、私が決める」が大きく配置。 セリフ: なし ナレーション: なし オノマトペ: なし"
38,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 朝のリビング。ひなたが「ママ、ジュース！」と元気に叫んでいる。ミサキが「はいはい」と笑顔で応えている。 セリフ: ［ひなた］の吹き出しに「ママ、ジュース！」 ［ミサキ］の吹き出しに「はいはい」 ナレーション: ［四角枠］初めての振込から、数ヶ月が経った。ひなたは2歳になっていた オノマトペ: なし
2コマ目 (下段右): ひなたが走り回っている様子。元気いっぱい。 セリフ: なし ナレーション: ［四角枠］言葉が増えた。走り回るようになった。イヤイヤ期の入り口 オノマトペ: たたたっ
3コマ目 (下段左): ミサキがキッチンでひなたにジュースを渡しながら、片手でスマホをチェック。 セリフ: なし ナレーション: ［四角枠］毎日は相変わらず忙しい。でも「相変わらず」の中身は半年前とは違っていた オノマトペ: なし"
39,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): スマホのInstagram画面。フォロワー数「823」の表示。 セリフ: なし ナレーション: ［四角枠］フォロワーは800人を超えた オノマトペ: なし
2コマ目 (中段): ASPの収益画面。棒グラフが右肩上がりに伸びている。「今月の収益: ¥32,500」の表示。 セリフ: なし ナレーション: ［四角枠］月の収益は安定して2〜3万円。良い月は5万円を超えることも オノマトペ: なし
3コマ目 (下段): ミサキがパソコンの前で穏やかに微笑んでいる。 セリフ: なし ナレーション: ［四角枠］金額はまだ大きくない。でもゼロから自分の手で積み上げたお金だ オノマトペ: なし"
40,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ3: 上段小→下段大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段小): 夜。ミサキがパソコンの前で手を止めている。 セリフ: なし ナレーション: ［四角枠］ある晩、Claudeと来月の投稿計画を立てているとき——ふと、手が止まった オノマトペ: …
2コマ目 (下段大): 回想シーン（セピア調）。退職の日、段ボール一つを抱えてオフィスビルの自動ドアをくぐるミサキの後ろ姿。振り返る横顔。 セリフ: なし ナレーション: ［四角枠］退職届を出した日のことを思い出した。自動ドアをくぐった。振り返ったら、もう自分の居場所はなかった オノマトペ: なし"
41,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ4: 上段大→下段小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段大): 回想（暗い色調）。暗い部屋でスマホの画面に映る自分の顔を見つめるミサキ。「何者なんだろう」と呟く表情。 セリフ: ［ミサキ］の吹き出しに「何者なんだろう……」 ナレーション: ［四角枠］名刺を手に取って呟いた。あの夜の暗い画面に映った自分の顔は、名前のない顔だった オノマトペ: なし
2コマ目 (下段小): 現在のパソコン画面。投稿の下書き、テーマ一覧、収益レポートが並んでいる。 セリフ: なし ナレーション: ［四角枠］——あれから、どれくらい歩いただろう オノマトペ: なし"
42,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): ミサキがパソコン画面を見つめている。画面の光に照らされた横顔。穏やかで自信に満ちた表情。背景にInstagramの投稿画面がぼんやり映っている。 セリフ: なし ナレーション: ［四角枠］名刺はない。社員証もない。肩書きもない。でも、「何者でもない」とは、もう思わなかった オノマトペ: なし"
43,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 子育て支援センター。ミサキとゆかりさんが子供たちを遊ばせながら話している。 セリフ: ［ゆかり］の吹き出しに「ミサキちゃん、最近なんか忙しそうだよね。何やってるの？」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ミサキが少し照れながら答えている。 セリフ: ［ミサキ］の吹き出しに「Instagramで育児のことを発信してて。それで少し収入もあって」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ゆかりさんが驚いた表情。 セリフ: ［ゆかり］の吹き出しに「えー！すごい！インフルエンサーってやつ？」 ナレーション: なし オノマトペ: なし"
44,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが手を振って否定している。照れ笑い。 セリフ: ［ミサキ］の吹き出しに「いやいや、そんな大層なものじゃないよ。800人だし」 ナレーション: なし オノマトペ: なし
2コマ目 (下段右): ゆかりさんが目を丸くして驚いている。 セリフ: ［ゆかり］の吹き出しに「800人もいるの！？ 私のフォロワー47人だよ！？」 ナレーション: なし オノマトペ: なし
3コマ目 (下段左): ミサキが笑いながらスマホを見せている。Claudeの画面が映っている。 セリフ: ［ミサキ］の吹き出しに「AIを使ってるの。Claudeっていうやつ」 ナレーション: なし オノマトペ: なし"
45,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ7: 上段左右2コマ + 下段1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段右): ゆかりさんが首をかしげている。 セリフ: ［ゆかり］の吹き出しに「くろーど？何それ？」 ナレーション: なし オノマトペ: なし
2コマ目 (上段左): ミサキが楽しそうに説明している。 セリフ: ［ミサキ］の吹き出しに「AIアシスタント。企画も文章もデザインも相談できる。日本語で話しかけるだけでいいの」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ゆかりさんが感心した表情。 セリフ: ［ゆかり］の吹き出しに「でもミサキちゃん、そういうの得意そうだもんね。事務やってたし」 ナレーション: なし オノマトペ: なし"
46,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ2: 上下均等2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが一瞬黙って考えている。回想の吹き出しで半年前の自分「事務しかやってなかったから何もできない」が浮かぶ。 セリフ: なし ナレーション: ［四角枠］半年前のミサキなら、この言葉に傷ついていた オノマトペ: なし
2コマ目 (下段): ミサキが自然な笑顔で答えている。自信がにじむ表情。 セリフ: ［ミサキ］の吹き出しに「うん、事務の経験、めちゃくちゃ役に立ってるよ」 ナレーション: ［四角枠］「事務しかできない」ではなく「事務ができるから、できた」 オノマトペ: なし"
