No,フラグ,日時,競馬場,開催日,人気合計,フラグ,レース,1着人気,2着人気,レース,1着人気,2着人気,レース,1着人気,2着人気,キャリーオーバー発声中,的中口数,的中金額,キャリーオーバー
252,,5月13日(火),川崎,第2回2日目,21,1,10R,4,5,11R,1,3,12R,5,3,,,"1,042,140",
220,4,6月11日(水),大井,第4回3日目,19,2,10R,1,6,11R,1,2,12R,5,4,1,,"1,676,885",
254,,5月9日(金),船橋,第2回5日目,19,2,10R,1,5,11R,3,6,12R,1,3,,,"913,825",
255,,5月8日(木),船橋,第2回4日目,21,2,10R,3,1,11R,3,5,12R,1,8,,,"4,382,800",
256,,5月8日(木),門別,第2回4日目,11,3,10R,1,2,11R,1,3,12R,1,3,1,,"21,305",
257,,5月7日(水),船橋,第2回3日目,15,1,10R,1,4,11R,3,2,12R,3,2,,,"463,335",
258,,5月7日(水),門別,第2回3日目,24,2,10R,8,4,11R,1,7,12R,1,3,,,,"5,232,108"
259,,5月6日(火),船橋,第2回2日目,29,1,10R,1,7,11R,9,6,12R,2,4,,,"17,784,165",
260,,5月5日(月),船橋,第2回1日目,26,1,10R,1,2,11R,2,5,12R,4,12,,,"6,533,935",
261,,5月2日(金),大井,第2回5日目,29,1,10R,3,5,11R,1,8,12R,7,5,,,"15,194,955",
191,,7月4日(金),船橋,第4回3日目,24,1,10R,1,5,11R,2,4,12R,3,9,,,"578,085",
263,,5月1日(木),門別,第2回2日目,14,3,10R,7,1,11R,1,2,12R,1,2,,,"82,425",
264,,4月30日(水),大井,第2回3日目,29,1,10R,5,4,11R,4,13,12R,1,2,,,,"14,256,046"
265,3,4月30日(水),門別,第2回1日目,12,3,9R,1,2,10R,1,2,11R,1,5,,,"15,245",
266,,4月29日(火),大井,第2回2日目,18,1,10R,3,4,11R,1,4,12R,2,4,,,"382,805",
267,,4月28日(月),大井,第2回1日目,23,1,10R,5,3,11R,8,4,12R,2,1,,,"14,440,870",
26,5,11月28日(金),浦和,第8回4日目,20,1,10R,2,5,11R,2,3,12R,1,7,,,"1,871,680",
269,,4月24日(木),浦和,第1回4日目,21,2,10R,1,2,11R,1,10,12R,2,5,,,"7,449,140",
270,,4月24日(木),門別,第1回4日目,15,2,10R,2,1,11R,6,1,12R,2,3,1,,"3,343,995",
271,,4月23日(水),浦和,第1回3日目,14,2,10R,2,1,11R,1,3,12R,3,4,,,"161,125",
272,,4月23日(水),門別,第1回3日目,23,2,10R,4,11,11R,3,1,12R,3,1,,,,"8,265,726"
273,,4月22日(火),浦和,第1回2日目,12,2,10R,4,2,11R,1,2,12R,1,2,1,,"205,785",
274,,4月21日(月),浦和,第1回1日目,35,0,10R,5,9,11R,5,6,12R,3,7,,,,"6,889,491"
275,,4月18日(金),大井,第1回5日目,24,3,10R,1,7,11R,1,3,12R,11,1,,,"15,993,990",
276,,4月17日(木),大井,第1回4日目,17,2,10R,1,2,11R,1,5,12R,6,2,,,"2,247,875",
197,,7月2日(水),門別,第6回5日目,19,1,10R,1,7,11R,2,3,12R,4,2,,,"96,400",
278,,4月16日(水),大井,第1回3日目,12,2,10R,2,1,11R,4,2,12R,1,2,,,"179,635",
279,,4月16日(水),門別,第1回1日目,17,1,10R,2,6,11R,2,3,12R,1,3,,,"410,080",
101,6,9月18日(木),大井,第9回4日目,18,2,10R,2,6,11R,2,1,12R,1,6,1,,"1,874,315",
281,,4月14日(月),大井,第1回1日目,32,1,10R,1,2,11R,10,8,12R,5,6,,,,"14,928,333"
282,,4月10日(木),川崎,第1回4日目,21,2,10R,1,2,11R,1,2,12R,4,11,,,,"12,754,406"
283,,4月9日(水),川崎,第1回3日目,22,1,10R,3,1,11R,3,6,12R,6,3,1,,"45,191,915",
284,,4月8日(火),川崎,第1回2日目,32,1,10R,1,6,11R,7,4,12R,3,11,1,,,"57,646,904"
285,,4月7日(月),川崎,第1回1日目,24,2,10R,1,2,11R,6,10,12R,4,1,,,,"14,575,218"
286,,4月4日(金),船橋,第1回4日目,22,1,10R,7,1,11R,3,6,12R,3,2,1,,"15,628,975",
287,,4月3日(木),船橋,第1回3日目,34,1,10R,5,9,11R,2,1,12R,7,10,,,,"12,823,167"
288,,4月2日(水),船橋,第1回2日目,13,3,10R,1,3,11R,1,5,12R,2,1,,,"25,510",
289,,4月1日(火),船橋,第1回1日目,13,2,10R,2,3,11R,1,4,12R,1,2,,,"44,480",
290,,3月31日(月),船橋,第14回1日目,18,2,10R,4,6,11R,3,1,12R,1,3,1,,"11,583,805",
291,,3月28日(金),大井,第19回5日目,18,2,10R,2,4,11R,8,1,12R,2,1,,,"1,261,085",
293,3,3月26日(水),大井,第19回3日目,22,3,10R,1,8,11R,1,6,12R,1,5,1,,"2,334,505",
218,6,6月12日(木),大井,第4回4日目,17,1,10R,2,3,11R,3,1,12R,2,6,,,"2,704,355",
294,,3月25日(火),大井,第19回2日目,43,1,10R,9,7,11R,1,5,12R,8,13,,,,"15,242,269"
295,,3月24日(月),大井,第19回1日目,15,2,10R,1,3,11R,3,1,12R,3,4,,,"199,635",
143,6,8月14日(木),大井,第7回5日目,18,1,10R,2,4,11R,1,3,12R,2,6,,,"2,818,515",
297,,3月20日(木),浦和,第12回4日目,11,3,10R,2,1,11R,1,3,12R,1,3,1,,"57,190",
298,,3月18日(火),浦和,第12回2日目,32,0,10R,3,5,11R,3,6,12R,12,3,1,,,"35,482,643"
299,,3月17日(月),浦和,第12回1日目,25,2,10R,8,5,11R,6,1,12R,1,4,,,,"8,154,678"
300,,3月14日(金),船橋,第13回5日目,24,0,10R,4,9,11R,4,2,12R,2,3,,,,"9,289,329"
301,,3月14日(金),大井,第18回5日目,16,2,10R,2,5,11R,1,5,12R,1,2,,,"201,040",
340,,1月24日(金),船橋,第11回5日目,16,1,10R,1,3,11R,4,2,12R,4,2,1,,"807,995",
303,,3月13日(木),大井,第18回4日目,34,2,10R,4,2,11R,1,15,12R,1,11,,,"8,070,150",
304,,3月12日(水),船橋,第13回3日目,12,2,10R,2,1,11R,2,3,12R,1,3,,,"70,575",
171,6,7月22日(火),浦和,第4回2日目,22,1,10R,3,6,11R,1,3,12R,4,5,,,"4,352,495",
306,,3月11日(火),船橋,第13回2日目,24,2,10R,1,10,11R,2,1,12R,6,4,,,"12,190,210",
307,,3月11日(火),大井,第18回2日目,22,3,10R,9,1,11R,1,5,12R,5,1,,,"10,449,530",
308,,3月10日(月),船橋,第13回1日目,18,2,10R,6,2,11R,1,6,12R,2,1,,,"2,766,835",
309,,3月10日(月),大井,第18回1日目,23,1,10R,3,5,11R,1,5,12R,2,7,1,,"825,120",
310,,3月7日(金),川崎,第13回5日目,13,2,10R,3,2,11R,1,4,12R,1,2,1,,"55,785",
311,,3月6日(木),川崎,第13回4日目,29,1,10R,3,1,11R,10,4,12R,3,8,,,,"8,979,299"
312,,3月5日(水),川崎,第13回3日目,17,3,10R,1,9,11R,1,2,12R,1,3,,,"809,355",
313,,3月4日(火),川崎,第13回2日目,22,0,10R,7,3,11R,2,3,12R,3,4,1,,"11,579,160",
314,,3月3日(月),川崎,第13回1日目,39,0,10R,9,5,11R,8,10,12R,2,5,,,,"10,757,957"
315,,2月28日(金),浦和,第11回5日目,26,1,10R,5,4,11R,1,2,12R,12,2,1,,"55,193,735",
316,,2月27日(木),浦和,第11回4日目,28,0,10R,7,2,11R,3,5,12R,5,6,1,,,"51,428,202"
317,,2月26日(水),浦和,第11回3日目,23,1,10R,2,9,11R,2,6,12R,1,3,,,,"11,356,506"
318,,2月25日(火),浦和,第11回2日目,14,2,10R,1,2,11R,2,1,12R,5,3,,,"307,720",
319,,2月24日(月),浦和,第11回1日目,12,3,10R,1,5,11R,2,1,12R,2,1,,,"140,230",
320,,2月21日(金),大井,第17回5日目,27,1,10R,9,3,11R,6,3,12R,1,5,,,,"11,804,653"
321,,2月20日(木),大井,第17回4日目,20,3,10R,1,10,11R,1,3,12R,1,4,,,"703,260",
322,,2月19日(水),大井,第17回3日目,28,1,10R,4,10,11R,1,2,12R,4,7,1,,"19,094,415",
323,,2月18日(火),大井,第17回2日目,34,0,10R,6,4,11R,3,14,12R,4,3,,,,"11,890,949"
324,,2月17日(月),大井,第17回1日目,30,2,10R,1,8,11R,1,5,12R,6,9,,,"4,073,830",
253,5,5月12日(月),川崎,第2回1日目,24,1,10R,2,6,11R,2,3,12R,1,10,1,,"8,914,680",
326,,2月13日(木),船橋,第12回4日目,25,1,10R,1,5,11R,2,6,12R,7,4,,,,"12,937,470"
327,,2月12日(水),船橋,第12回3日目,19,1,10R,7,3,11R,2,4,12R,2,1,,,"16,437,235",
328,,2月11日(火),船橋,第12回2日目,10,3,10R,1,2,11R,1,3,12R,1,2,,,"16,755",
329,,2月10日(月),船橋,第12回1日目,12,3,10R,1,5,11R,1,2,12R,1,2,,,"32,745",
330,,2月8日(土),川崎,第12回5日目,22,1,10R,5,3,11R,1,4,12R,6,3,1,,"5,991,930",
331,,2月7日(金),川崎,第12回4日目,19,1,10R,3,4,11R,5,2,12R,1,4,,,,"8,372,791"
332,,2月6日(木),川崎,第12回3日目,16,3,10R,8,1,11R,1,2,12R,1,3,,,"97,275",
333,,2月5日(水),川崎,第12回2日目,11,3,10R,1,3,11R,3,1,12R,1,2,,,"144,160",
334,,2月4日(火),川崎,第12回1日目,22,1,10R,1,11,11R,3,2,12R,3,2,,,"4,799,150",
335,,1月31日(金),大井,第16回5日目,11,3,10R,1,2,11R,2,1,12R,1,4,,,"61,745",
336,,1月30日(木),大井,第16回4日目,11,2,10R,3,2,11R,2,1,12R,1,2,1,,"79,480",
337,,1月29日(水),大井,第16回3日目,26,3,10R,1,5,11R,1,8,12R,1,10,,,,"14,676,760"
338,,1月28日(火),大井,第16回2日目,18,1,10R,2,7,11R,2,1,12R,2,4,,,"1,524,250",
182,3,7月11日(金),川崎,第4回5日目,25,3,10R,1,7,11R,1,5,12R,1,10,,,,"11,551,526"
262,,5月1日(木),大井,第2回4日目,18,1,10R,1,2,11R,2,4,12R,4,5,1,,"813,175",
341,,1月23日(木),船橋,第11回4日目,32,2,10R,12,1,11R,1,3,12R,3,12,,,,"10,691,345"
342,,1月22日(水),船橋,第11回3日目,13,2,10R,4,1,11R,2,1,12R,2,3,,,"352,525",
343,,1月21日(火),船橋,第11回2日目,20,1,10R,2,4,11R,1,5,12R,5,3,1,,"4,074,260",
344,,1月20日(月),船橋,第11回1日目,32,2,10R,7,1,11R,8,1,12R,13,2,,,,"11,300,891"
345,,1月17日(金),大井,第15回5日目,26,1,10R,4,8,11R,2,4,12R,1,7,,,,"11,709,397"
346,,1月16日(木),大井,第15回4日目,17,1,10R,2,5,11R,1,2,12R,5,2,1,,"1,574,990",
347,,1月15日(水),大井,第15回3日目,29,0,10R,11,5,11R,3,5,12R,3,2,1,,,"44,988,433"
348,,1月14日(火),大井,第15回2日目,20,1,10R,2,7,11R,5,3,12R,2,1,,,,"9,451,442"
349,,1月13日(月),大井,第15回1日目,17,1,10R,4,2,11R,5,2,12R,1,3,,,"11,888,780",
350,,1月10日(金),浦和,第10回4日目,21,1,10R,6,2,11R,7,1,12R,2,3,,,"9,859,685",
351,,1月9日(木),浦和,第10回3日目,21,3,10R,1,7,11R,1,3,12R,8,1,,,"6,073,210",
352,,1月8日(水),浦和,第10回2日目,16,2,10R,1,5,11R,2,1,12R,2,5,,,"454,640",
353,,1月7日(火),浦和,第10回1日目,16,2,10R,3,1,11R,1,2,12R,3,6,,,"310,295",
354,,1月4日(土),川崎,第11回4日目,19,2,10R,8,1,11R,3,4,12R,1,2,,,"4,304,225",
1,,12月31日(水),大井,第14回6日目,24,1,9R,1,6,10R,2,3,11R,8,4,,,"3,330,875",
356,,1月2日(木),川崎,第11回2日目,29,1,10R,1,8,11R,6,5,12R,3,6,,,,"13,064,156"
357,,1月1日(水),川崎,第11回1日目,30,1,10R,8,2,11R,7,10,12R,1,2,,,"12,109,755",
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
